id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
235,La casa del boia,John Ford,Stany Zjednoczone,f,80,1928,t
236,L'avventuriera,Robert Z. Leonard,Stany Zjednoczone,f,78,1928,t
237,Crepuscolo di gloria,Josef von Sternberg,Stany Zjednoczone,f,88,1928,t
238,Lights of New York,Bryan Foy,Stany Zjednoczone,f,57,1928,t
239,Le sette aquile,"George Fitzmaurice, Frank Lloyd",Stany Zjednoczone,f,80,1928,f
240,Primo amore,Pál Fejös,Stany Zjednoczone,f,69,1928,f
241,L'uomo che ride,Paul Leni,Stany Zjednoczone,f,110,1928,t
242,Fascino biondo,King Vidor,Stany Zjednoczone,f,78,1928,f
243,The Racket,Lewis Milestone,Stany Zjednoczone,f,84,1928,t
244,The Smart Set,Jack Conway,Stany Zjednoczone,f,80,1928,t
245,A rotta di collo,Ted Wilde,Stany Zjednoczone,f,85,1928,t
246,Io... e il ciclone,"Charles Reisner, Buster Keaton",Stany Zjednoczone,f,70,1928,f
247,Femmine del mare,"Frank Capra, Irvin Willat",Stany Zjednoczone,f,93,1928,t
248,Quella certa cosa,Frank Capra,Stany Zjednoczone,f,69,1928,t
249,The Trail of '98,Clarence Brown,Stany Zjednoczone,f,87,1928,t
250,I vichinghi,Roy William Neill,Stany Zjednoczone,f,90,1928,f
251,Il vento,Victor Sjöström,Stany Zjednoczone,f,95,1928,f
252,La moglie del fattore,Alfred Hitchcock,Wielka Brytania,f,100,1928,t
253,Il vaso di Pandora,Georg Wilhelm Pabst,Niemcy,f,109,1929,t
254,Heimkehr,Joe May,Niemcy,f,78,1928,t
255,La passione di Giovanna d'Arco,Carl Theodor Dreyer,Francja,f,110,1928,t
256,Big News,Gregory La Cava,Stany Zjednoczone,f,75,1929,t
257,Broadway,Pál Fejös,Stany Zjednoczone,f,104,1929,f
258,La canzone di Broadway,Harry Beaumont,Stany Zjednoczone,f,100,1929,t
259,Cercasi avventura,F. Richard Jones,Stany Zjednoczone,f,90,1929,t
260,La Canarina Assassinata,"Malcolm St. Clair, Frank Tuttle",Stany Zjednoczone,f,82,1929,t
261,La danza della vita,"John Cromwell, A. Edward Sutherland",Stany Zjednoczone,f,115,1929,t
262,Notti nel deserto,William Nigh,Stany Zjednoczone,f,62,1929,t
263,Il tenente di Napoleone,Sidney Franklin,Stany Zjednoczone,f,97,1929,t
264,Disraeli,Alfred E. Green,Stany Zjednoczone,f,90,1929,t
265,Trafalgar,Frank Lloyd,Stany Zjednoczone,f,99,1928,t
266,The Duke Steps Out,James Cruze,Stany Zjednoczone,f,62,1929,t
267,Diavoli volanti,Frank Capra,Stany Zjednoczone,f,110,1929,f
268,La flotta del cielo,George W. Hill,Stany Zjednoczone,f,100,1929,t
269,Glorifying the American Girl,Millard Webb,Stany Zjednoczone,f,95,1929,t
270,Il bandito e la signorina,Reginald Barker,Stany Zjednoczone,f,72,1929,t
271,Il gran Gabbo,"James Cruze, Erich von Stroheim",Stany Zjednoczone,f,92,1929,t
272,Gli eroi del deserto,William Wyler,Stany Zjednoczone,f,68,1929,t
273,High Voltage,Howard Higgin,Stany Zjednoczone,f,63,1929,f
274,Sette passi verso Satana,Benjamin Christensen,Stany Zjednoczone,f,77,1929,t
275,Notte di tradimento,Irving Cummings,Stany Zjednoczone,f,95,1928,t
