id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
1024,Vivere alla grande,Martin Brest,Stany Zjednoczone,f,01:37:00,1979,t
1025,Head Over Heels,Joan Micklin Silver,Stany Zjednoczone,f,01:32:00,1979,f
1026,The Hollywood Strangler Meets the Skid Row Slasher,Ray Dennis Steckler,Stany Zjednoczone,f,01:12:00,1979,t
1027,Il gioco degli avvoltoi,James Fargo,Wielka Brytania,f,01:53:00,1979,t
1028,"Una strada, un amore",Peter Hyams,Wielka Brytania,f,01:49:00,1979,f
1029,Saturn 3,"Stanley Donen, John Barry",Wielka Brytania,f,01:36:00,1980,t
1030,Giallo a Venezia,Mario Landi,Wlochy,f,01:31:00,1979,t
1031,Lan tou He,Chia-Liang Liu,Hong Kong,f,01:37:00,1979,f
1032,Bian fu chuan qi,Yuen Chor,Hong Kong,f,01:42:00,1978,f
1033,Lin Shi Rong,Woo-Ping Yuen,Hong Kong,f,01:48:00,1979,t
1034,Long Weekend,Colin Eggleston,Australia,f,01:37:00,1978,f
1035,Il segno degli Hannan,Jonathan Demme,Stany Zjednoczone,f,01:42:00,1979,t
1036,Ma che sei tutta matta?,Howard Zieff,Stany Zjednoczone,f,01:52:00,1979,f
1037,Malibù la ragazza che scotta,Irvin Berwick,Stany Zjednoczone,f,01:30:00,1979,t
1038,Commando d'assalto,Raoul Coutard,Francja,f,01:36:00,1980,t
1039,La mia brillante carriera,Gillian Armstrong,Australia,f,01:40:00,1979,t
1040,Penitentiary,Jamaa Fanaka,Stany Zjednoczone,f,01:39:00,1979,t
1041,Profezia,John Frankenheimer,Stany Zjednoczone,f,01:42:00,1979,t
1042,Quintet,Robert Altman,Stany Zjednoczone,f,01:58:00,1979,t
1043,Piedone d'Egitto,Steno,Wlochy,f,01:44:00,1980,t
1044,Olsenbanden og Dynamitt-Harry mot nye høyder,Knut Bohwim,Norwegia,f,01:39:00,1979,t
1045,Olsen-banden overgiver sig aldrig,Erik Balling,Dania,f,01:48:00,1979,t
1046,The Rose,Mark Rydell,Stany Zjednoczone,f,02:05:00,1979,t
1047,Toccando il paradiso,David Helpern,Stany Zjednoczone,f,01:27:00,1979,t
1048,Star Trek,Robert Wise,Stany Zjednoczone,f,02:12:00,1979,t
1049,Uno sceriffo extraterrestre... poco extra e molto terrestre,Michele Lupo,Wlochy,f,01:35:00,1979,t
1050,Le roi et l'oiseau,Paul Grimault,Francja,f,01:23:00,1980,t
1051,Sete di sangue,Rod Hardy,Australia,f,01:33:00,1979,t
1052,Wu hu jiang,Cheh Chang,Hong Kong,f,01:31:00,1974,t
1053,Za jia xiao zi,Sammo Kam-Bo Hung,Hong Kong,f,01:32:00,1979,t
1054,Esecuzione di un eroe,Bruce Beresford,Australia,f,01:47:00,1980,t
1055,L'uomo venuto dall'impossibile,Nicholas Meyer,Stany Zjednoczone,f,01:52:00,1979,t
1056,Tom Horn,William Wiard,Stany Zjednoczone,f,01:38:00,1980,t
1057,Un astronauta alla tavola rotonda,Russ Mayberry,Stany Zjednoczone,f,01:33:00,1979,t
1058,Up from the Depths,Charles B. Griffith,Stany Zjednoczone,f,01:25:00,1979,t
1059,Voices,Robert Markowitz,Stany Zjednoczone,f,01:46:00,1979,t
1060,Wanda Nevada,Peter Fonda,Stany Zjednoczone,f,01:47:00,1979,f
1061,I guerrieri della notte,Walter Hill,Stany Zjednoczone,f,01:32:00,1979,t
1062,Quando chiama uno sconosciuto,Fred Walton,Stany Zjednoczone,f,01:37:00,1979,t
1063,L'umanoide,"Aldo Lado, Enzo G. Castellari",Wlochy,f,01:40:00,1979,t
1064,Vacanze per un massacro,Fernando Di Leo,Wlochy,f,01:25:00,1980,f
1065,Wsród nocnej ciszy,Tadeusz Chmielewski,Polska,f,02:08:00,1978,t
1066,Les égouts du paradis,José Giovanni,Francja,f,01:55:00,1979,t
1067,Yomigaeru kinrô,Tôru Murakawa,Japonia,f,02:11:00,1979,t
